Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Node Degree,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
46,['HN' 'LN'],281,20.0,3,HDBSCAN,best,haversine,leaf,None,13,13,116,165,27.1896551724,-0.153453426837,7.13987943364,2.82768713796,0.000566287424054,0.320976843137,0.575328677051,0.542095699576,0.975088967972
47,['HN' 'LN'],281,30.0,3,HDBSCAN,best,haversine,leaf,None,15,15,146,135,26.7397260274,-0.0826347394185,8.81327908614,2.92623185303,0.000566287424054,0.3388297442,0.502594498034,0.551219512195,0.9662938485
48,['HN' 'LN'],281,40.0,3,HDBSCAN,best,haversine,leaf,None,20,20,179,102,26.4022346369,-0.0355308007244,8.36676583045,3.34091520484,0.000566287424054,0.352329195672,0.555498601148,0.55237711523,0.964844941535
49,['HN' 'LN'],281,50.0,3,HDBSCAN,best,haversine,leaf,None,24,24,232,49,24.7931034483,0.00673110799742,21.6804701375,2.11860263528,0.000628811982053,0.354414298673,0.571525348515,0.538797447094,0.952414844942
50,['HN' 'LN'],281,10.0,4,HDBSCAN,best,haversine,leaf,None,23,23,231,50,6.4632034632,-0.00349988582309,21.869266515,2.0830572724,0.000244734071176,0.524639806302,0.0,0.746134020619,0.973995932893
51,['HN' 'LN'],281,20.0,4,HDBSCAN,best,haversine,leaf,None,7,7,97,184,29.9278350515,-0.0929750760353,11.4822826194,1.41059509283,0.000244734071176,0.321890702953,0.368190126855,0.553603876439,0.976563294357
52,['HN' 'LN'],281,30.0,4,HDBSCAN,best,haversine,leaf,None,9,9,121,160,30.4628099174,-0.0399001460905,11.0468034566,1.49194022805,0.000244734071176,0.336908149911,0.458147637456,0.556097560976,0.969903406202
53,['HN' 'LN'],281,40.0,4,HDBSCAN,best,haversine,leaf,None,14,14,165,116,27.3696969697,-0.00502180509298,14.9729970962,1.51226043025,0.000244734071176,0.357233970161,0.480063620803,0.558420628525,0.966319267921
54,['HN' 'LN'],281,50.0,4,HDBSCAN,best,haversine,leaf,None,14,14,183,98,29.0163934426,-0.00226588318314,21.3494468199,1.86187940473,0.000244734071176,0.330860243165,0.543918101625,0.509237487403,0.955948144382
55,['HN' 'LN'],281,10.0,5,HDBSCAN,best,haversine,leaf,None,15,15,223,58,6.92376681614,-0.0145531885569,37.2270942513,3.70799082563,0.00304069767564,0.566623379211,0.0,0.822164948454,0.960726995425
